		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)
		(0.01)	(0.05)	(0.04)	(0.10)	(0.03)	(0.02)	(0.03)	(0.08)	(0.03)	(0.04)	(0.06)	(0.05)	(0.07)
7.challenge	challenge = 7, Unequal pay	0.00	-0.09	0.03	-0.06	-0.01	-0.01	-0.01	0.03	0.00	0.04	0.09	0.07	0.03
		(0.01)	(0.07)	(0.05)	(0.13)	(0.05)	(0.03)	(0.04)	(0.07)	(0.02)	(0.03)	(0.09)	(0.06)	(0.07)
8.challenge	challenge = 8, Lack of transportation	-0.04*	-0.13	-0.21***	-0.20	-0.15**	-0.03	0.02	-0.28*	0.10*	0.14	0.03	-0.04	0.06
		(0.02)	(0.09)	(0.07)	(0.14)	(0.06)	(0.04)	(0.05)	(0.15)	(0.06)	(0.11)	(0.06)	(0.06)	(0.07)
9.challenge	challenge = 9, Men prefered in job	-0.01	-0.10	-0.00	-0.00	-0.07	-0.02	-0.00	-0.05	-0.03	0.02	0.07	0.17**	0.03
		(0.02)	(0.07)	(0.06)	(0.14)	(0.06)	(0.04)	(0.05)	(0.09)	(0.04)	(0.05)	(0.12)	(0.07)	(0.09)
10o.challenge	challenge = 10, omitted	-												-
														
1.religion	Religion = 1, Other	0.02	-0.05	-0.02	0.03	0.07**	0.00	-0.03	-0.05	-0.01	0.11***	0.10	0.10	0.11*
		(0.01)	(0.07)	(0.04)	(0.08)	(0.03)	(0.02)	(0.03)	(0.05)	(0.02)	(0.02)	(0.08)	(0.08)	(0.06)
3.religion	Religion = 3, Islam	-0.07***	-0.08***	-0.09***	-0.05	-0.07***	-0.05***	-0.10***	-0.08	-0.10**	0.04	-0.14***	-0.10**	-0.01
		(0.01)	(0.02)	(0.02)	(0.04)	(0.02)	(0.02)	(0.02)	(0.08)	(0.04)	(0.07)	(0.06)	(0.05)	(0.04)
4o.religion	Religion = 4, omitted	-										-	-	-
														
5o.religion	Religion = 5, omitted	-										-	-	-
														
10.challenge	challenge = 10, Lack of skills		-0.11*	0.05	-0.12	-0.04	-0.04	0.17***	0.16	0.01	-0.08	0.03	-0.06	
			(0.06)	(0.05)	(0.12)	(0.05)	(0.03)	(0.06)	(0.12)	(0.06)	(0.05)	(0.13)	(0.11)	
4.religion	Religion = 4, Hinduism		-0.16*	0.13**	0.15	0.03	-0.05	0.01	0.24	-0.01	0.03			
			(0.09)	(0.05)	(0.10)	(0.05)	(0.03)	(0.05)	(0.16)	(0.08)	(0.13)			
5.religion	Religion = 5, Secular		-0.09	0.12*	0.16	-0.06	0.06**	-0.06	0.00	-0.03*	0.09***			
			(0.14)	(0.06)	(0.23)	(0.04)	(0.03)	(0.04)	(0.03)	(0.01)	(0.02)			
														
Observations		59,148	3,348	5,824	957	5,608	15,669	6,289	1,660	8,106	6,926	1,115	3,036	610
Standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
